date,sentiment
2014-12-01,0.5407150126993656
2014-12-02,0.5267242323924103
2014-12-03,0.5072079552916104
2014-12-04,0.539433297273275
2014-12-05,0.5422009766556835
2014-12-06,0.4894423815044197
2014-12-07,0.5218195720103824
2014-12-08,0.5408197342067637
2014-12-09,0.5547189252552879
2014-12-10,0.0399666428565979
2015-02-02,0.5887253433465958
2015-02-04,0.6560667157173157
2015-02-07,0.5374370217323303
2015-02-10,0.6770206689834595
2015-02-11,0.8370324373245239
2015-02-13,0.6229047775268555
2015-02-17,0.5241913795471191
2015-02-19,0.4878102540969849
2015-02-23,0.5711912512779236
2015-02-25,0.5385384559631348
2015-02-26,0.7338892221450806
2015-02-27,0.8617581129074097
2015-03-01,0.5222728848457336
2015-03-03,0.6184789538383484
2015-03-04,0.3149503022432327
2015-03-05,0.3657544851303101
2015-03-06,0.4286986440420151
2015-03-09,0.4794638976454735
2015-03-10,0.6613647937774658
2015-03-11,0.2827033996582031
2015-03-16,0.5214794129133224
2015-03-20,0.6281481236219406
2015-03-23,0.40783432126045227
2015-03-24,0.4774101376533508
2015-03-26,0.20126712322235107
2015-03-27,0.8322179317474365
2015-03-30,0.6327769756317139
2015-04-01,0.6426659822463989
2015-04-07,0.7128587365150452
2015-04-08,0.4821445047855377
2015-04-09,0.5213218331336975
2015-04-10,0.7796609401702881
2015-04-13,0.678544282913208
2015-04-14,0.7384362816810608
2015-04-16,0.7756856679916382
2015-04-17,0.6272221803665161
2015-04-23,0.29607662558555603
2015-04-27,0.475554957985878
2015-04-28,0.8200910091400146
2015-04-29,0.7994732856750488
2015-06-01,0.6508501635657417
2015-06-03,0.2510940879583359
2015-06-04,0.6481953263282776
2015-06-05,0.4572155177593231
2015-06-06,0.8196572661399841
2015-06-07,0.07401227951049805
2015-06-08,0.6411694884300232
2015-06-10,0.7402622103691101
2015-06-11,0.5768016576766968
2015-06-16,0.49500572681427
2015-06-18,0.6958615779876709
2015-06-19,0.6645772457122803
2015-06-22,0.37636690338452655
2015-06-23,0.3301490545272827
2015-06-24,0.6293321847915649
2015-06-30,0.3506476581096649
2015-07-01,0.3947958648204804
2015-07-08,0.3909153640270233
2015-07-09,0.3771433830261231
2015-07-13,0.5580319166183472
2015-07-14,0.7099587321281433
2015-07-20,0.4599961936473846
2015-07-21,0.5939946174621582
2015-07-22,0.7270524501800537
2015-07-27,0.758285641670227
2015-07-30,0.2247992753982544
2015-08-03,0.4163313210010529
2015-08-04,0.6049200892448425
2015-08-05,0.5437301397323608
2015-08-07,0.4698307812213898
2015-08-10,0.4640496373176575
2015-08-11,0.21373817324638367
2015-08-13,0.5825344324111938
2015-08-14,0.5521961450576782
2015-08-20,0.6037320494651794
2015-08-21,0.4280549387137095
2015-08-24,0.5107873231172562
2015-08-25,0.3977796733379364
2015-08-26,0.7079989910125732
2015-08-27,0.5595956444740295
2015-08-28,0.4972082525491714
2015-08-31,0.6320399641990662
2015-09-01,0.8417903184890747
2015-09-02,0.7339372634887695
2015-09-04,0.4840668141841888
2015-09-09,0.703105553984642
2015-09-10,0.6762322187423706
2015-09-14,0.6346617937088013
2015-09-16,0.763835608959198
2015-09-18,0.5884038805961609
2015-09-21,0.4531340003013611
2015-09-22,0.6246795654296875
2015-09-25,0.7438340187072754
2015-09-28,0.5098868012428284
2015-09-30,0.6586444973945618
2015-10-01,0.5643829703330994
2015-10-02,0.798979640007019
2015-10-08,0.6852403879165649
2015-10-09,0.686012864112854
2015-10-13,0.5760769844055176
2015-10-16,0.1459575593471527
2015-10-20,0.8855834007263184
2015-10-21,0.4537315964698792
2015-10-23,0.768257737159729
2015-10-26,0.6653069257736206
2015-10-27,0.5305827160676321
2015-10-28,0.6569882035255432
2015-11-03,0.5910619497299194
2015-11-05,0.2290392816066742
2015-11-09,0.5517111420631409
2015-11-10,0.4768519997596741
2015-11-11,0.37589365243911743
2015-11-18,0.5237899422645569
2015-11-19,0.6464009284973145
2015-11-20,0.5540165305137634
2015-11-23,0.4925701320171356
2015-11-25,0.7308894395828247
2015-11-30,0.9620505571365356
2015-12-01,0.6090925335884094
2015-12-03,0.3697540760040283
2015-12-04,0.5206776261329651
2015-12-08,0.6294978658358256
2015-12-10,0.6382401585578918
2015-12-14,0.34966960549354553
2015-12-15,0.6497123042742411
2015-12-17,0.5705049633979797
2015-12-20,0.4274228811264038
2015-12-21,0.3562662899494171
2015-12-30,0.5411987602710724
2016-01-01,0.3541319668292999
2016-01-03,0.1814369559288025
2016-01-04,0.733895480632782
2016-01-05,0.2614867389202118
2016-01-06,0.4719217419624329
2016-01-07,0.5736531913280487
2016-01-08,0.4213916957378388
2016-01-10,0.6026473641395569
2016-01-11,0.4019665718078613
2016-01-12,0.4379290938377381
2016-01-15,0.23383843898773196
2016-01-19,0.5785211324691772
2016-01-22,0.4516114195187886
2016-01-25,0.06894510984420776
2016-01-26,0.5434805154800415
2016-01-27,0.44366780916849774
2016-01-29,0.5482129752635956
2016-02-01,0.5229488611221313
2016-02-02,0.5409708917140961
2016-02-03,0.8413698673248291
2016-02-08,0.5292617678642273
2016-02-11,0.7888092994689941
2016-02-12,0.3395630121231079
2016-02-16,0.11121562123298644
2016-02-17,0.5826594829559326
2016-02-18,0.7442069053649902
2016-02-19,0.5075972378253937
2016-02-22,0.4209440350532532
2016-02-24,0.4346315264701843
2016-02-25,0.6103613972663879
2016-02-26,0.6547942161560059
2016-03-01,0.5978156328201294
2016-03-02,0.6888277729352316
2016-03-03,0.22292861342430115
2016-03-07,0.5217525064945221
2016-03-08,0.605750322341919
